Name of State/UT,Cluster,Total_Renewable,Solar,Wind,Biomass,Small Hydro
Andaman And Nicobar Islands,Energy Consumer,16.17455775630101,10.808754890843442,0.1158028654575709,0.0,5.25
Andhra Pradesh,Energy Hub,4943.6496718932585,2293.5958308072645,2119.332794698854,372.13663503399897,158.58441135314138
Arunachal Pradesh,Energy Consumer,127.6035171037228,3.802440872192383,7.163181494688309,15.83578947368421,100.80210526315793
Assam,Energy Consumer,94.83578947368422,41.46,0.3157894736842105,22.42368421052632,30.636315789473684
Bihar,Energy Consumer,242.1215789473684,91.60052631578948,17.763157894736842,67.02105263157895,65.73684210526316
Chandigarh,Energy Consumer,33.14468578338623,33.14468578338623,0.0,0.0,0.0
Chhattisgarh,Energy Consumer,605.6068421052632,276.3563157894737,42.96157894736842,233.42052631578943,52.86842105263158
Goa,Energy Consumer,7.174736842105263,6.848947368421053,0.1378947368421052,0.1378947368421052,0.05
Gujarat,Energy Hub,9274.831578947367,4024.567368421053,5159.171052631579,51.65105263157895,39.44210526315789
Haryana,Energy Consumer,546.1715789473684,332.97526315789474,23.90526315789474,118.49631578947368,70.79473684210525
Himachal Pradesh,Energy Consumer,800.1973684210526,126.44263157894736,1.4526315789473685,3.71578947368421,668.5863157894737
Jammu And Kashmir,Energy Consumer,197.95381584610763,39.88473684210527,0.0,8.516315789473685,149.55276321452868
Jharkhand,Energy Consumer,47.36105263157895,39.26368421052632,1.4578947368421054,2.5894736842105264,4.05
Karnataka,Energy Hub,9455.106842105262,4035.347368421053,3295.463684210526,1103.8115789473684,1020.4842105263158
Kerala,Energy Consumer,439.7663157894737,207.32,43.08684210526316,0.7473684210526316,188.6121052631579
Lakshadweep,Energy Consumer,0.8957894736842105,0.8957894736842105,0.0,0.0,0.0
Madhya Pradesh,Energy Consumer,3172.9773684210527,1524.5847368421053,1498.7215789473685,60.603157894736846,89.0678947368421
Maharashtra,Energy Hub,7802.052105263157,2161.742105263158,3848.906315789474,1469.5057894736842,321.8978947368421
Manipur,Energy Consumer,9.08558902138158,3.6355890514976097,0.0,0.0,5.449999969883969
Meghalaya,Energy Consumer,30.496315789473687,0.4352631578947368,0.0,3.631578947368421,26.429473684210528
Mizoram,Energy Consumer,35.90510232021934,2.15769937414872,0.0,0.0,33.74740294607062
NCT of Delhi,Energy Consumer,92.06102306365968,92.06102306365968,0.0,0.0,0.0
Nagaland,Energy Consumer,25.06157894736842,0.4973684210526315,0.0,0.0,24.56421052631579
Odisha,Energy Consumer,277.2442972011001,175.64348028885692,0.5052806541479903,32.85047229967619,68.245063958419
Puducherry,Energy Consumer,3.9045270176937703,3.9045270176937703,0.0,0.0,0.0
Punjab,Energy Consumer,892.4806512598163,503.4382391036184,0.0,230.0025226793791,159.03988947681887
Rajasthan,Energy Hub,6980.575243012278,3810.205345394737,3053.4961338404605,93.02376371684828,23.850000060232063
Sikkim,Energy Consumer,50.88557986008494,1.0913897162989563,0.0,0.0,49.794190143785976
Tamil Nadu,Energy Hub,10228.558567793996,1906.7292701480264,7493.418875411185,713.7578118575246,114.65261037726152
Telangana,Energy Consumer,2218.101090472128,1913.5174867520543,96.93757100906592,136.09125949590475,71.5547732151032
Tripura,Energy Consumer,21.68348553506952,5.673485498930279,0.0,0.0,16.01000003613924
Uttar Pradesh,Energy Consumer,2075.8185674486663,745.6750596217106,0.0,1298.7278191817436,31.415688645212278
Uttarakhand,Energy Consumer,450.9523596191407,202.73980378803452,0.0,67.45272091514187,180.75983491596423
West Bengal,Energy Consumer,316.06079885506983,58.37348664936266,0.7368717085597668,158.49258551346628,98.45785498368112
